rating,vote,n_words,votes_per_100_words,text
4.0,9096,4,227400.0,1300147200. A Step Closer
4.0,9096,4,227400.0,1300147200. A Step Closer
5.0,3068,4,76700.0,1214784000. Garmin Nuvi 255w
5.0,3068,4,76700.0,1214784000. Garmin Nuvi 255w
5.0,2058,3,68600.0,"1221523200. Almost ""Untouchable"""
4.0,3982,7,56885.71428571428,1270252800. A leap in the right direction
5.0,2209,4,55225.0,"1243296000. Excellent, Compact Camcorder"
3.0,2016,4,50400.0,"1253750400. Great radios, BUT"
4.0,1990,4,49750.0,1255651200. Very good but . . . .
5.0,2838,6,47300.0,1253577600. Excellent features and amazing range
5.0,4041,9,44900.0,1244851200. The best dashboard friction mount that Garmin makes
3.0,2068,5,41360.0,1230163200. IMPORTANT PRODUCT USAGE INFORMATION
3.0,2068,5,41360.0,1230163200. IMPORTANT PRODUCT USAGE INFORMATION
5.0,1637,4,40925.0,1383523200. Concealable Audio Weapon
4.0,3199,8,39987.5,"1283731200. Nano Gains Touch, Loses Video Playing & Recording"
5.0,2317,6,38616.66666666667,1189900800. Ultra Flip Review and walkthrough
3.0,1083,3,36100.0,1246060800. No Tuners
5.0,2148,6,35800.0,1188432000. BC-700/900/1000 FAQ
5.0,4192,12,34933.333333333336,1260489600. Bose QC15 vs. Sennheiser PXC 450 vs. Audio-Technica ATH-ANC7b
4.0,1048,3,34933.333333333336,1181606400. Antennas Compared
5.0,2437,7,34814.28571428571,1253059200. The 3rd generation's a charm
4.0,1375,4,34375.0,1204934400. Solid ultracompact camera
4.0,1375,4,34375.0,1204934400. Solid ultracompact camera
5.0,1714,5,34280.0,1249344000. Great 2-way radios!
5.0,1586,5,31720.0,1389916800. Awesome Product! Awesome Price :-)
5.0,934,3,31133.333333333336,1250640000. Indoor miracles
5.0,923,3,30766.666666666668,1273881600. Audio demonstration
5.0,2095,7,29928.571428571428,1374796800. HUGE improvement over the original model
5.0,3587,12,29891.666666666668,1257552000. The camcorder SHOWDOWN: I've done the product comparisons for you
4.0,1350,5,27000.0,1245024000. Which lens to get
4.0,1350,5,27000.0,1245024000. Which lens to get
4.0,805,3,26833.333333333336,1180310400. Inexpensive Alternative
1.0,4146,16,25912.5,"1275436800. Excellent sound quality, poor build quality. I've owned 3, and all 3 are dead."
3.0,1785,7,25499.999999999996,1283299200. Great display but terrible rear camera
3.0,1706,7,24371.42857142857,1241654400. Flip Ultra HD vs. Flip MinoHD
5.0,719,3,23966.666666666668,1256515200. Cake Oil
3.0,2124,9,23600.0,"1242777600. Stylish design and clean, deep bass, but overpriced"
3.0,235,1,23500.0,1263081600.
4.0,1635,7,23357.142857142855,1192147200. Amazing Video Clarity; Troublesome Vista Support
5.0,694,3,23133.333333333336,1386288000. SUPER product!
