rating,vote,n_words,text,reviewTime_parsed
4.0,9096,4,1300147200. A Step Closer,2011-03-15
4.0,9096,4,1300147200. A Step Closer,2011-03-15
2.0,7739,2480,"Why does this now have over 4 THOUSAND negative reviews?. The Flex is fairly good - IF you understand its limitations. And it has a lot of them. This is a 1.0 version, the first wrist-based tracker Fitbit has produced. There are good reasons why there are so many negative reviews of the Flex. I strongly suggest that you wait for the technology to be refined by Fitbit (and others) before spending $100 or more on this.

I also suggest that you tune out the 5-star ""this is AWESOME!"" reviewers. I've had the Flex for 6 months now (acquired at CES 2013, long before retail availability) and initially I too was impressed by the technology. However, with long-term use, I think its inaccuracies make it nothing more than a pedometer with sleep analysis added in (and the usefulness of the latter is dubious as well). The IDEA of it all is excellent: to track your activities and see your progress over time via the great software that Fitbit has developed. However, all of this is predicated on the device accurately tracking your movements. If it fails in that aspect - and unfortunately it does, to a moderate degree - then all of the data and impressive charts and graphs are rather useless. The ""awesome!"" reviewers don't realize this (yet) and just assume what they're seeing is real; it isn't.

The underlying technological problem, as I see it, is in the placement of the tracker. Up until now, Fitbit trackers were to be placed on the torso. Now, it must be placed on the wrist (yes, the tracker itself can be taken out of the wristband and put into your pocket but all of Fitbit's calibrations and algorithms are designed for that wrist placement and you are making the problem worse by not having it on your wrist). So, if your wrist movement is ANYTHING other than the usual movement of either running or walking, your step count/mileage is going to be off - often way, way off.

Fitbit markets the Flex as an ""activity monitor"", implying that it is capable of keeping stats on your physical activities. Well, because of the wrist location issue and the basic design structure of using two stride lengths for all calculations (your walking and running stride lengths), pretty much any activity that is NOT walking or running cannot be accurately monitored: the accelerometer senses whether you are walking or running and multiplies the appropriate stride length by the number of steps sensed (and arrives at a mileage distance). Any activity outside of that limited ability of the Flex, your stats are innacurate. This includes stair-climbing, hiking, tennis, golf, biking, working out, and pretty much every other ""activity"" that is not walking or running. The Flex is not really an ""activity monitor""; it's an expensive pedometer (albeit one with ""sleep analysis"", which is actually only a record of how much wrist movement you had during the night: i.e., 2 hours of no movement = deep sleep, an hour of sporadic movement = restless sleep).

There are, however, aspects of the Flex that are quite good: it does accurately keep track of your walking and running, it does keep track of your sleeping patterns, and it also wakes you with a silent vibration on your wrist at the time you set to get up in the morning. And once out of bed and into the shower, there's no need to take the Flex off: it's almost completely waterproof (pressurized water being the exception). But the best, perhaps life-enhancing aspect of the Flex is its ability to keep you focused on your exercise goals (which is the main reason why, overall, I like the device and its software - to a point): if you DO consider it only a pedometer with cool software, which is what I consider it to be, you will not be disappointed (though the price may not seem worth it to others).

First, there's the 'onboard' function to keep you aware of your progress towards your daily goals (total distance traveled, number of steps taken, or calories burned): each light on the row of 5 small LED lights on the band represents 20% of your goal and a quick glance and a tap on the band will tell you how you're doing. Secondly, for the actual stats of your progress (or reviewing your daily, weekly or longer stats), you can view them in real time on your phone via the Fitbit App for iPhone and Android, or on your tablet or PC/Mac with the Fitbit 'Dashboard'. This is where you set your daily and longer-term goals, view not only your stats but see them represented in charts and graphs, and log other information such as weight, weight changes, and food consumed. You can go further, but personally I would feel a bit silly setting goals where I would receive 'badges' for reaching them. But that's just me. Overall though, the software is very good and keeps you aware - along with the band's LEDs - of whether or not you are staying on track of exercise goals. But, again, just keep in mind that the wrist placement of the device gives the Flex an inherent flaw as to the accuracy of all this data - UNLESS you are using it only to monitor and analyze walking and running stats, as I do.

If you're like me and the term ""highly-motivated"" (or ""disciplined"") and your name rarely appear in the same sentence, the Flex is a great help in that regard: it makes you keenly aware of whether you're succeeding or failing in your exercise regimen, which I find to be a great help in discipline and motivation. The Flex is a good motivator because you do not want to have today's exercise stats look inferior to yesterday's - or this week's less than last week's - or this month's less than last month's: you can graphically SEE all this on a color graph, your success or failure staring you right in the face. And who wants to stare at his or her failure or laziness? We want to see improvement, to see success. And, for me, this is why the Flex is a valuable tool: an ever-present motivator. I personally use it for running and I find that I really push myself to prevent the present week's stats (total mileage, etc.) from failing to outdo last week's. Seeing the charts and color graphs of several months of steady progress, there's a real feeling of accomplishment and a strong motivation to continue. It is this visual presentation of your exercise efforts that sets the Flex (and other Fitbit models) apart, in my opinion.

Is the Flex a miracle device that will accurately detail your every movement, every calorie burned, throughout your day? No, it's an accelerometer/pedometer based on your stride lengths and your wrist movement; there are many activities where it is impossible for such a device to determine steps, etc. Fitbit's marketing of the device was overblown, calling the Flex an ""activity monitor/tracker"", implying - to many - that all activities could be measured for steps/mileage/calories, which is not the case. Further, Fitbit should not be marketing it as a calorie monitor because an accelerometer alone (which is what the Flex is) cannot possibly count calories burned with any real accuracy.

So, overall, I would give the Flex 2 stars, based on the way it's marketed to the general public. It does fail to live up to many buyers' expectations (read the many 1- and 2-star raging reviews). The technology required to do what Fitbit infers the Flex can do - tracking and monitoring most physical activities - is probably a few years away. Someday there may be a Flex with integrated GPS, heart-rate monitor and an accurate altimeter: THEN we can expect steps/mileage/calories counts to be done for many more activities. For now, this Flex (""Flex 1.0"") is basically a pedometer (with a few other features) and its accuracy is limited to a narrow range of activity. My personal needs happen to fall into that narrow range: I use it only for running and walking exercise and in analyzing, graphically, my fitness history and progress via the Dashboard, and it's a great motivational tool. For my personal needs, I'd probably have to give it 3 stars (but this would be misleading to the average Amazon buyer). Unless your personal needs are as narrow as mine, I would hold off on buying the Flex until improvements are made. You can duplicate this model's limited abilities with a decent pedometer and freeware/shareware to manually input and analyze the stats.

----------------------------------------------------------------
UPDATE

There have been so many good questions about aspects of the Flex that I didn't cover originally that it's probably best that I expand the review:

LOCATION OF TRACKER: Early questions asked about whether or not you can wear the tracker outside of the band or with the band around your ankle, etc. (earlier Fitbits could be worn anywhere on the torso). It is only accurate on your wrist (or, rather, it is most accurate on your wrist, its overall accuracy pretty questionable).

ACCURACY OVERALL: For usual activities like walking and running, if you see inaccuracies in mileage or number of steps, probably your stride measurements are not like the average person for your height (which is what Fitbit uses for default strides, your height entered when you set up your account). In your account settings, you can change 'Stride Length' and 'Running Stride Length' in order to calibrate the accuracy. Ignore the reviewer who states that you can't calibrate the Flex: you can; all the tracker is doing is counting steps (and multiplying those steps for mileage amounts); since you can adjust your stride lengths, you can calibrate the Flex to your exact needs. The device has a walking step (stride) and a running step and counts them (and converts your steps to mileage). The only way to have accurate mileage is for the Flex to KNOW your two stride distances and to have the wrist tracker sense whether you're walking or running; if you mess with those dynamics (irregular steps, irregular wrist movement), you mess with accuracy, simple as that.

There is an additional tweak to minimize wrist movement inaccuracies: you CAN go into your dashboard settings and change the location of the wristband from 'dominate hand' to 'non-dominate', but I've found that this to be of little use: the Flex is only reliable when walking and running AND having normal wrist activity while doing so. Instances where one wrist is more active than the other are not likely to be in walking and running activities.

WATERPROOF: It is not entirely waterproof. You can wear it in the shower or along the surface of a pool. However, it's not rated to withstand water at depth - water where there's pressure.

STAIRS: Unlike its predecessors like the One, the Flex does not have an altimeter and therefore cannot count stairs climbed. From what I read, Fitbit did away with it because it was inherently inaccurate.

BANDS: The Flex comes with both a small and a large band. The large band goes from about 6 1/4"" to 8 1/4"" and the small, 5 1/2"" to almost 7"" and both are fully adjustable between those lengths. Putting on the band is difficult the first week or so - the rubber is a bit stiff - but then it becomes looser and easier to put on.

TREADMILLS: Your 'Running Stride Length' on a treadmill may be shorter than on the road (no forward momentum). See above about tweaking stride lengths.

HEART RATE: No, there is no heart rate monitor.

CALORIE COUNTS: The Flex really should NOT be marketed as a calorie-burning monitor. No device without a heart-rate monitor can accurately determine calorie burning. But when using the Flex to simply analyze a run or a long walk, it can 'ballpark' calories burned fairly well; expecting it to tell you how many calories you burned in the past 24 hours - not so much.

SUBSCRIPTION: For your normal account there is no additional charge for anything but for a 'Premium Account', which gives additional analysis and tips (such as a 'Fitbit Trainer' 12-week plan, more data analysis, a 'peer ranking', etc.), it is $49.95 per year. The Premium doesn't really seem worth it, to me, but then again it's only $4 a month or so for someone who wants to get more from the Flex.

SLEEP MODE: There are two options for sleep mode. One is automatic and does not require you to ""tell"" the Flex that you are going to sleep, like the Up and and other competing models; however, you do need to log your sleep hours on your dashboard; at the next sync your sleep data will be visible. Alternatively you can fast tap the band when going to bed and do the same when you wake up. Personally, I prefer the dashboard method as I would probably forget quite often to tap the band. The Flex determines amounts of restful vs. wakeful/restless sleep simply by wrist movement (i.e., no movement for 2 hours = restful sleep). The novelty of being able to analyze your sleep patterns soon wears off, at least in my case; the usefulness of the data seems questionable.

ANDROID COMPATIBILITY: You need Bluetooth 4 for real time syncing.

CHARGING: It takes about 2 hours to fully charge using the dedicated USB cord. The battery lasts about a week.

OVERALL OPINION: I did use the thing for months: it kept me motivated by being able to compare walking and running stats over time via the software interface. Otherwise, it was no better than a decent pedometer (and triple the cost). It fell apart after 3 months, like it seems to do quite commonly. Remember that this is the 1.0 version of the Flex, so enhanced capabilities - and better quality overall - may not be too far away. Perhaps the Flex 2.0 will be worth the list price if improvements are made but this 1.0 version is really not be worth it for most people. Read the many 1- and 2-star reviews as evidence of this. And, again, do not trust the mountain of 5-star reviews: if you look at them, 90% are 5 words or less ('Love my Fitbit!'), written by people who have no idea as to whether all the shiny color graphs and step counts are accurate or not. They are not, for reasons explained above.",2013-04-16
5.0,5203,1220,"New models available. UPDATE: November 20, 2015

Wow, these are coming fast and furious. Roku 4 is now here, It's more expensive but it's probably worth it because it adds lots of new capabilities: 4K Ultra HD support, 802.11ac Wi-Fi, even a feature to locate a lost remote.

UPDATE: April 6, 2015

Please be aware that Roku released a new Roku 3 model that adds voice search among other things so make sure you are getting the 'latest and greatest' when you place your order. I was able to get the new one from Roku's own site but I'm sure Amazon will have them soon.

What follows is my 2013 review. This is where the NEW model is listed:&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/New-Roku-3-Streaming-Media-Player-4230R-With-Voice-Search/dp/B00UJ3IULO/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">New Roku 3 Streaming Media Player (4230R) With Voice Search</a>
__________________________________________________________

MY EXPERIENCE

For anyone new to the Roku world, I would recommend the Roku 3 over any other previous models mainly on it being so much faster to operate. If 'cost' is an issue and 720p only is not a bother then the LT should be a great pick for half the price.

True for all Roku models: there's an enormous amount of channels to choose from, including most popular ones. And if there's something that you can't find in the official store you can always check the private channel listings (I included the URL of my favorite site) which is where I found things such as streaming CNN, CNN International and BBC World.

The streaming is exceptionally smooth. Quite impressive considering that I set this Roku on the second floor, some 60-70 ft. and two floors away from our Wi-Fi router located in the basement.

This model especially, due to the more powerful processor is easy to operate through Roku's very basic remote control.

Roku 3 and all Rokus are stable. I didn't have the Roku 3 for too long (will update) but my experience with a Roku LT was that it almost never crashes and I only had to manually reconnect to my Wi-Fi router once over a 6-months period.

The 'universal search' feature is quite amazing. You simply type in the name of a movie or show even an actor and you will see all you options on all channels and you will know in advance whether it's going to be free or exactly how much it was going to cost. On the Roku 3 all information appears almost instantly.

_______________________________________________________________

THE FAQ

I will try to keep this section as objective (factual) as possible.

Q: Why would I want a Roku?
A: Roku has, by far, the largest number of 'channels' vs. any other competing product. If you like exploring content beyond the popular services (Netflix, Amazon, etc.) you should consider a Roku?

Q: Why would I want a Roku 3?
A: When compared to previous models, this one has a much faster processor, 5 times faster. The faster processor allows you to quickly navigate the new and much improved user interface but if 'speed' is not an issue, the new interface will appear on the older models by April, 2013. This model also adds a 'private listening' capability through a provided pair of headphones that plug directly into the remote control. In addition it supports Dual-band wireless for faster streaming when connected to a router that supports the feature and has a USB port.

Q: When I shouldn't pick a Roku 3 over other Roku models?
A: Roku 3 does not support 'standard' (non HD) TVs but earlier models do. You should select a 'lesser' model such as the Roku LT when price is the issue and/or your HD TV is limited to 720p and 'speed' is not an issue.

Q: What can I play through the USB port?
A: Video: MP4 (H.264), MKV (H.264); Audio: AAC, MP3; Image: JPG, PNG.

Q: Is the Roku 3 expandable?
A: Yes. There a MicroSD slot for additional game and channel storage memory.

Q: Can I use a Roku 3 with any TV lacking an HDMI port?
A: No.

Q: What are the best screen resolution and audio supported by Roku 3?
A: 1080p, 7.1/5.1 surround sound.

Q: Is the Roku 3 energy efficient?
A: According to Roku, typical power consumption is 3.5W when streaming HD video.

Q: How do I connect a Roku 3 to the Internet?
A: You can do it wither via Wi-Fi or through the wired Ethernet port. Technically speaking: 802.11 dual-band (a/b/g/n compatible) with WEP, WPA, and WPA2 support (wireless) and 10/100 Base-T Ethernet for the wired connection.

Q: What is not included but I must have to make my Roku 3 work besides a TV and an Internet router?
A: An HDMI cable.

Q: Can I control the Roku 3 with a universal remote?
A: Yes.

Q: Do I need line of site to control the Roku 3?
A: No if you use Roku's own remote, yes if you use a universal remote control.

Q: Can I play games on the Roku 3?
A: Yes, it comes with Angry Birds Space preloaded and you may add more games from the store.

Q: Are the Roku channels free?
A: Many of them are but Roku also streams 'premium' channels for which you will require a separate subscription.

Q: What are private channels.
A: These are channels that, for whatever reason, are not listed by the channel store. You can easily make them 'appear' on your TV by picking them from one of the sites that lists such channels. See the first comment to this review for the URLs of such sites.

Q: How much it costs to use a Roku?
A: Once purchased, it could cost you nothing. Or you may subscribe to one or more premium services.

Q: Can I have more than one Roku tied to one account?
A: Yes.

Q: Can I search for a specific movie or show across all of Roku's channel?
A: Yes, you can. Even better, Roku will not only tell you which channel carries it but you will know in advance if it will cost you and how much it will cost to view or 'rent' it. You can also search for other related information such as movies featuring one specific actor.

Q: Can I watch YouTube on the Roku?
A: Yes, a YouTube channel was launched on December 17, 2013.

Q: Can I get live news channels on the Roku?
A: Yes. You may be able to find such channels at the store or as private channels listings but most US 'mainstream' news channels only offer a selection of recent on-demand videos. [I have a link to a listing of 'Roku channels that contain at least one live TV feed' on the comments section, the FIRST comment to this review. Be aware that the listing may not be complete, that some of the channels are 'premium' and that some of them may drop live streams.

Q: Are non-video streams supported?
A: Yes, radio stations and music streaming channels such as Pandora are supported.
_______________________________________________________________

NOTE:

The YouTube channel became available for the US, Canada and Ireland in December 2013.",2013-03-06
5.0,4192,12,1260489600. Bose QC15 vs. Sennheiser PXC 450 vs. Audio-Technica ATH-ANC7b,2009-12-11
1.0,4146,16,"1275436800. Excellent sound quality, poor build quality. I've owned 3, and all 3 are dead.",2010-06-02
5.0,4041,9,1244851200. The best dashboard friction mount that Garmin makes,2009-06-13
4.0,3982,7,1270252800. A leap in the right direction,2010-04-03
5.0,3587,12,1257552000. The camcorder SHOWDOWN: I've done the product comparisons for you,2009-11-07
5.0,3269,34,"Fantastic!. I purchased this for my Atari 2600 and wow did it make a difference!  Also, I am very thankful that it has low energy costs as I am on a very tight budget.",2013-12-04
