score,sentence,rating,vote
0.9996,good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good,5.0,0
0.9996,good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good,5.0,0
0.9996,good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good,5.0,0
0.9996,good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good,5.0,0
0.9996,good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good,5.0,0
0.999,"BOSE SINCE HE RETIRED AND SOLD HIS COMPANY YEARS AGO, THATS WHEN THEY BOSE WENT ALL PLASTIC, AND LET ME SAY AGAIN, THIS UNIT HAS NO COMPATITION, IVE BEEN THERE AND KNOW IT FOR A FACT, OK LETS MOVE ON, 4)  THIS THING IS BUILT TO LAST, GREAT COATING ON BACK, RUBBER, NICE RUBBER HANDLE FOR TRANSPORT 5)  SOME HAVE SAID ITS BIG TO BIG TO BE PORTABLE, WHAT THE HECK ARE U SMOKING, ITS 17"" LONG AND 7LDS, ITS PERFECT FOR TRANSPORT, COME ON IF U WONT THE BEST SOUND AND A 5"" WOOFER U HAVE TO GIVE IT SPACE TO PROJECT, U CANT PUT ALL THIS , 2 DRIVERS AND WOOFER INTO A SMALL CONTAINER, IT WILL HINDER THE SOUND, SO WITH TWO OPEN PORTS IN BACK IT MAKES THE SOUND MUCH BETTER, SO SIZW WISE ITS PERFECT AND IT LOOKS SO NICE AND THE UNIT IS WELL MADE AND LOOKS IT, DR DRE RED AND BLACK WITH HANDLES LOOKS LIKE A LOWER SOUNDING SPEAKER WHICH IT IS, SO AGAIN I HAVE TAKEN THIS EVERYWHERE, ALL I GET FROM OTHERS IS "" WOW, WHERE THE HECK DID U GET THIS UNIT AND HOW DOES IT GET SO LOUD AND SOUND IS NOT LOST LIKE OTHERS"" 6) OK NOW TO THE BATTERY SITUATION, I HAVE BEEN THRU SELF CONTAINED UNITS THAT TAKE A CHARGE, HATED IT, WHY THEY ONLY KEEP A CHARGE COMPAIRED TO HOW LOUD U RUN IT, SO TO KEEP THE UNITS SMALL AND PORTABLE THE BATTERYS INSIDE MUST BE SMALL AND COMPACT SO THEY IF U KEEP THE VOLUME LOUD LIKE FOR A PARTY THEY WONT KEEP GOING BUT MAYBE 3 TO 5 HOURS AT THE MOST AND WITHOUT NOTICE THEY TURN OFF, YEP BEEN THERE , DONE IT, IN THE MIDDLE OF A PARTY OR GET TOGEATHER WHAM MUSIC STOPS ITS QUITE EVERYBODY TURNS TO U THE MUSIC MAN OR WOMAN AND GIVE U THIS WHAT THE HECK, U MORON, WHAT HAPPENED TO UR SO CALLED HIGHEND MUSIC, WELL I HAVE TO RECHARGE IT FOR 3 HOURS OR 1 HOUR OR HERE LET ME FIND A OUTDOOR PLUG BLAH BLAH BLAH, MEANTIME U LOOK LIKE A FOOL AND THEY ARE HOOKING UP THE CHEAP ONE THAT HAS BATTERIES, AND U LOOK LIKE A IDIOT, SO I HAVE BEEN THRU THE CHARGING UNITS AND FORGET IT, SO THIS UNIT CARRIES 8 D CELLS, SO U CAN RUN AT FULL VOLUME FOR 13 HOURS, YES I DID IT AND THE ON OFF BUTTON STARTS TO BLINK RED TO LET U KNOW THE BATTERIES ARE STARTING TO RUN LOW SO BEFORE ANYONE WILL NOTICE U CAN POP SOME NEW ONES IN OR PUT IN UR RECHARGED BATTERIES IN AND BANG MUSIC IS BACK BUT MINE WENT 13 OR MORE HOURS AT FULL VOLUME, THE PARTY WAS GONE AND IT DID NOT MATTER BUT IF IT DOES THIS WORKS SO WELL, SO GO THIS ROUTE NOT THE RECHARGE TYPE, ALSO I HAD USED THESE BATTERIES BEFORE GOING TO THIS PARTY SO THEY WERE NOT BRANDNEW, JUST THINK HOW LONG I COULD HAVE GONE WITH BRANDNEW ONES, SO PLEASE KNOW I HAVE GONE THRU THE CHARGING UNITS AND BATTERY ONES AND THE BATTERIES TAKE THE CAKE, REMEMBER WHEN U WALKED ALL THE WAY OUT TO GET TO THE BEACH, THAT ONE MILE FELT LIKE IT WALK WITH ALL THE TOWELS AND LOTION AND CHAIRS AND KIDS AND DOG AND UMBRELLA AND DRINKS AND COOLERS, 3 HOURS LATER AFTER HALF VOLUME , BAM IT HITS U , NO SOUND, CHARGE IS GONE, CANT RECHARGE, CANT PUT IN NEW BATTERIES, YEA I KNOW UR THERE AND BEEN THERE, AND WISHED U HAD A BATTERY UNIT, EASY TO CARRY EXTRA ONES, SO LOOK AT IT THAT WAY, COME ON I KNOW U CAN, I FORGOT WHAT NUMBER I WAS AT SO LETS TRY 7)  REMOTE YEP IT COMES WITH ONE BUT IF U ARE USING BLUETOOTH LIKE IPHONE, IPOD TOUCH, MP3 U JUST USE IT FOR REMOTE, OW YES I DOES COME WITH THE BOX THAT THE UNIT IS IN WITH A HANDLE TO CARRY UNIT, ITS MADE OF WELL MADE STUFF, BUT IM GONNA HELP U OUT ONLY BECAUSE I KNOW IF U BUY THIS UNIT ITS WORTH ME HELPING U OUT, I HAD A GATORS LAPTOP CARRYING SHOULDER BAG FOR MY 17"" LARGE LAPTOP AND THIS UNIT CAN FIT PERFECTLY INTO IT AND ALL THINGS LIKE CHARGING USB CABLES FOR IPHONE, MP3, IPOD IT LOOKS GOOD AND U CAN FIT THE ELECTRIC CORD AND OTHER THINGS IN THIS LAPTOP BAG AND IT LOOKS GOOD, SO A LITTLE HELP ON IF U WONT TO PROTECT THE BEST UNIT OUT THERE JUST GET ONE OF THOSE, REMEMBER THE BAG MUST BE ABLE TO CARRY A 17"" LAPTOP.",5.0,5
0.9983,"08G-P4-5170 1683 MHz boost with blower cooling, requires only a single 8pin connector and draws 150W, no backplate (Blower)
http://amzn.to/2v2fkms
08G-P4-5171 1683 MHz boost but adds ACX3.0 advanced cooling requires one 8-pin and draws 150W, no backplate  (uncommon model)
http://amzn.to/2hsIA14
08G-P4-6170  1683 MHz boost with blower cooling one 8pin 150W White LED, adds backplate  (Founders Edition)
http://amzn.to/2v3WauV
08G-P4-6171 1683 MHz boost ACX3.0 cooling one 8pin 150W  adds White LED (REF)
http://amzn.to/2vnJPV9
08G-P4-6571 1683 MHz boost iCX cooling and thermal modules single 8pin 150W White LED  (Not on Amazon)
08G-P4-5173 1784 MHz boost (super clocked) ACX3 cooling, one 8pin, 170W power White LED, no backplate  (SC Black)
http://amzn.to/2v2iDKF
08G-P4-6173 1784 MHz boost (super clocked) ACX3 cooling, one 8pin, 170W power White LED (SC)
http://amzn.to/2v2t3tm
08G-P4-6178 1784 MHz boost Hybrid cooling, one 8pin, 170W power White LED (HYBRID)
http://amzn.to/2vnDrNt
08G-P4-6573 1784 MHz boost (super clocked) iCX cooling, one 8pin, 170W power White LED (SC2)
http://amzn.to/2v2oOhN
08G-P4-6274 1683 MHz boost ACX3 cooling, two 8pin, 215W power RGB LED, Enhanced 10 Phase Power Supply for overclocking (FTW 1683)
http://amzn.to/2v2G0DF
08G-P4-6276 1797 MHz boost super clocked ACX3 cooling, two 8pin, 215W power RGB LED, 10 Phase Power for OC (FTW 1797) (The card I purchased)
http://amzn.to/2v2pDHp
08G-P4-6278 1797 MHz boost super clocked Hybrid cooling, two 8pin, 215W power RGB LED, 10 Phase Power for OC (FTW HYBRID 1797)
http://amzn.to/2v45O0t
08G-P4-6674 1683 MHz boost iCX cooling, two 8pin, 215W power RGB LED, 10 Phase Power for OC (Not on Amazon)
08G-P4-6676 1797 MHz boost super clocked iCX cooling, two 8pin, 215W power RGB LED, 10 Phase Power for OC (FTW2 1797)
http://amzn.to/2upMLMp

I chose the model I did, because it had ACX cooling, and the 1797 clock with the 10 phase power and RGB LED.",5.0,4
0.9981,"IM A PC TECH MY SELF FOR OVER 17 YEARS I HAVE BUILT OVER 70 GAMING RINGS,I OWN 7 MYSELF AN THE BEST ONE IS MY ANTEC 900 Q6600 QUAD-CORE 8 GB RAM NFORCE EVGA 780 3 WAY SLI WITH 3 8800 GTS 640 MB CARDS,NOW ONE IS ALL U NEED I RUN THE HARDEST GAME CRYSIS ON JUST ONE AN GET 47 FPS THAT IS SAYING ALOT,BUT WHEN I RUN ALL 3 WOW 82 FPS ON CRYSIS JUST SO SWEET I PLAY FOR HOURS AN HOURS LOL LIKE A KID,IM 37 BUT ANY ONE WHO HAS 350 DOLLARS CAN BUILD A GREAT GAMING PC CHEAP BUY FROM AMAZON GET ANTEC 900 HAS 4 120 FANS AN 1 200 ON TOP PRICE 80 BUY 1 CORSAIR 430 WATT 28 AMP 12 V R 42 DOLLARS,BUY A E6300 CPU ECI MOTHERBOARD 50 DOLLARS CPU IS ABOUT 50 TO 75 BUT ITS FAST AN CAN OVER CLOCK FROM ITS 1.8 TO 2.8 TO 3.2 SAFE EASY WITH A VERY GOOD HEATSINK, I USE A COOLERMASTER V8 USED 35 2 TO 4 GB RAM ALL U NEED 32 BIT ONLY SEES 3.5 ANY WAY,BUY FROM AMAZON 350 TO 400 MAX AN A 8800 GT 512 OR 8800 GTS 640 FOR BIGGER MONITORS BUT ONE OF THEM GPU AN BAM 50 TO 75 IS ALL AN U NEED ARE PLAYING HARD CORE,MY 1 8800 GTS 640 IN A ANTEC 900 NEVER GOES ABOVE 52 AFTER GAMING 3 HOURS,BUT  8800 GTS STILL ROCKS AFTER FEW GOOD YEARS I LOVE THAT CARD,LONG LIVE MY 8800 GTS 640,PS IF YOUR 8800 GTS IS RUNNING HOT ITS NOT THE CARD ITS YOUR PC CASE U NEED GOOD AIR 120 3 FANS A MUST WHY I SAY ANTEC 900 COMES PRE INSTALLED OR A 932 HAF COOLERMASTER OR 902 OR 912,BUT TRUST ME PUT MORE FANS IN AN IF U DONT HAVE THE MONEY TAKE THE SIDE OFF PC AN PUT A FAN BLOWING ON YOUR CARD IT WILL COOL THE PC THAT WAY TILL U CAN BUY FANS 120 GUYS AN GALS,AMAZON ROCKS",5.0,0
0.9977,good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good,5.0,0
0.9975,"yet to see how they stay in for high movement activities
volume control would be nice, but mute is good

pluses
comfortable
easy to insert in ear
seem to stay in well
great sound
good carrying case, easy to put headphones in it yet compact
microphone is clear for phone calls
easy mute
easy to answer phone calls while listening to music
attractive to look at when being worn
cord is relatively tangle proof compared to my shure headphones (I changed mainly for the microphone, but I find these sound better, stay in better, are more comfortable for long periods,carrying case works better, tangles less, look more stylish...really they are better all round

I haven't bothered changing filters....sounds fine to me...really crisp and clear, and not tiring to listen to even after hours....natural and comfortable sound, bass but not too much",5.0,0
